bezirk,kategorie_raw,n,median_response_time,hilfsfrist_quote,kategorie_code,Hauptbeschwerde_Text_Original
Charlottenburg-Wilmersdorf,1.0,7402,647.0,0.1781950824101594,01,"Bauchschmerzen, -beschwerden"
Charlottenburg-Wilmersdorf,2.0,1319,588.0,0.26383623957543595,02,"Allergie (Überreaktion) / Kontakt mit giftigen Tieren (Stiche, Bisse)"
Charlottenburg-Wilmersdorf,3.0,128,671.5,0.1328125,03,Tierbiss / Tierangriff
Charlottenburg-Wilmersdorf,4.0,2913,608.0,0.22451081359423275,04,Körperverletzung / Sexualdelikt / Elektroschocker
Charlottenburg-Wilmersdorf,5.0,2546,670.5,0.1575019638648861,05,Rückenschmerzen (Nicht traumatische Rückenschmerzen oder ältere Verletzung)
Charlottenburg-Wilmersdorf,6.0,13814,562.0,0.28022296221224846,06,Atembeschwerden
Charlottenburg-Wilmersdorf,7.0,203,633.0,0.2315270935960591,07,Verbrennungen (Verbrühungen) / Explosion (Detonation)
Charlottenburg-Wilmersdorf,9.0,1485,461.0,0.5683501683501684,09,"Kreislauf-, Atemstillstand / Tote Person"
Charlottenburg-Wilmersdorf,10.0,8733,569.0,0.27447612504294056,10,Brustschmerzen / Andere Beschwerden in der Brust (Nicht Traumatisch)
Charlottenburg-Wilmersdorf,11.0,290,543.5,0.3896551724137931,11,Atemwegsverlegung (Durch Fremdkörper)
Charlottenburg-Wilmersdorf,12.0,3299,535.0,0.3419217944831767,12,Krampfanfall
Charlottenburg-Wilmersdorf,13.0,1041,617.0,0.23246878001921228,13,Blutzuckerentgleisungen
Charlottenburg-Wilmersdorf,15.0,131,605.0,0.2900763358778626,15,Stromunfall / Blitzschlag
Charlottenburg-Wilmersdorf,16.0,372,658.5,0.20967741935483872,16,Augenprobleme / Verletzungen
Charlottenburg-Wilmersdorf,17.0,25440,616.0,0.20719339622641508,17,Sturz / Absturz
Charlottenburg-Wilmersdorf,18.0,1220,637.5,0.18032786885245902,18,Kopfschmerzen
Charlottenburg-Wilmersdorf,19.0,8654,586.0,0.25098220476080424,19,Herzbeschwerden / Implantierter Defibrillator
Charlottenburg-Wilmersdorf,20.0,209,656.0,0.19138755980861244,20,"Hitze-, Kälteprobleme"
Charlottenburg-Wilmersdorf,21.0,6479,623.0,0.20358079950609662,21,Blutung / Wunden
Charlottenburg-Wilmersdorf,23.0,7214,601.0,0.23149431660659828,23,Überdosis / Vergiftung (Einnahme)
Charlottenburg-Wilmersdorf,24.0,1149,583.0,0.24456048738033073,24,Schwangerschaft / Geburt / Fehlgeburt
Charlottenburg-Wilmersdorf,25.0,8205,657.0,0.17209018890920172,25,Psychiatrie / Abnormales Verhalten / Suizidversuch
Charlottenburg-Wilmersdorf,26.0,13208,666.0,0.17686250757116898,26,Kranke Person (Spezielle Krankheitsbilder)
Charlottenburg-Wilmersdorf,27.0,73,522.0,0.3561643835616438,27,"Stich-, Schuss-, Pfählungsverletzung"
Charlottenburg-Wilmersdorf,28.0,4984,600.0,0.23234349919743177,28,Schlaganfall / Transitorische Ischämische Attacke (TIA)
Charlottenburg-Wilmersdorf,29.0,2438,512.0,0.40730106644790814,29,Verkehrsunfall
Charlottenburg-Wilmersdorf,30.0,9091,641.0,0.18622813771862282,30,Verletzungen
Charlottenburg-Wilmersdorf,31.0,16734,562.0,0.2970001195171507,31,Bewusstlosigkeit / Ohnmacht (Beinahe-)
Charlottenburg-Wilmersdorf,32.0,3527,581.0,0.24780266515452226,32,Unklares Geschehen (Person in Notlage)
Charlottenburg-Wilmersdorf,33.0,844,619.0,0.1966824644549763,33,Anforderung von Rettungsmittel durch Versorgungseinrichtung / Palliative Medizin / Einweisung
Charlottenburg-Wilmersdorf,34.0,97,504.0,0.41237113402061853,34,AUM (Automatische Unfallmeldung)
Friedrichshain-Kreuzberg,1.0,6212,612.0,0.22343850611719254,01,"Bauchschmerzen, -beschwerden"
Friedrichshain-Kreuzberg,2.0,1283,539.0,0.35074045206547155,02,"Allergie (Überreaktion) / Kontakt mit giftigen Tieren (Stiche, Bisse)"
Friedrichshain-Kreuzberg,3.0,140,603.5,0.2357142857142857,03,Tierbiss / Tierangriff
Friedrichshain-Kreuzberg,4.0,4938,567.0,0.28979343863912516,04,Körperverletzung / Sexualdelikt / Elektroschocker
Friedrichshain-Kreuzberg,5.0,1768,616.5,0.20135746606334842,05,Rückenschmerzen (Nicht traumatische Rückenschmerzen oder ältere Verletzung)
Friedrichshain-Kreuzberg,6.0,10485,528.0,0.3586075345731998,06,Atembeschwerden
Friedrichshain-Kreuzberg,7.0,247,585.0,0.26720647773279355,07,Verbrennungen (Verbrühungen) / Explosion (Detonation)
Friedrichshain-Kreuzberg,9.0,1032,430.0,0.688953488372093,09,"Kreislauf-, Atemstillstand / Tote Person"
Friedrichshain-Kreuzberg,10.0,6655,535.0,0.3410969196093163,10,Brustschmerzen / Andere Beschwerden in der Brust (Nicht Traumatisch)
Friedrichshain-Kreuzberg,11.0,230,483.0,0.49130434782608695,11,Atemwegsverlegung (Durch Fremdkörper)
