bezirk,kategorie_raw,criticality,n,hilfsfrist_quote,kategorie_code,Hauptbeschwerde_Text_Original
Charlottenburg-Wilmersdorf,1.0,A,1230,0.0975609756097561,01,"Bauchschmerzen, -beschwerden"
Charlottenburg-Wilmersdorf,1.0,C,5271,0.19104534243976476,01,"Bauchschmerzen, -beschwerden"
Charlottenburg-Wilmersdorf,1.0,D,901,0.21309655937846836,01,"Bauchschmerzen, -beschwerden"
Charlottenburg-Wilmersdorf,2.0,A,90,0.13333333333333333,02,"Allergie (Überreaktion) / Kontakt mit giftigen Tieren (Stiche, Bisse)"
Charlottenburg-Wilmersdorf,2.0,B,271,0.14760147601476015,02,"Allergie (Überreaktion) / Kontakt mit giftigen Tieren (Stiche, Bisse)"
Charlottenburg-Wilmersdorf,2.0,C,725,0.2882758620689655,02,"Allergie (Überreaktion) / Kontakt mit giftigen Tieren (Stiche, Bisse)"
Charlottenburg-Wilmersdorf,2.0,D,230,0.3782608695652174,02,"Allergie (Überreaktion) / Kontakt mit giftigen Tieren (Stiche, Bisse)"
Charlottenburg-Wilmersdorf,3.0,A,39,0.1282051282051282,03,Tierbiss / Tierangriff
Charlottenburg-Wilmersdorf,3.0,B,71,0.15492957746478872,03,Tierbiss / Tierangriff
Charlottenburg-Wilmersdorf,4.0,A,173,0.15606936416184972,04,Körperverletzung / Sexualdelikt / Elektroschocker
Charlottenburg-Wilmersdorf,4.0,B,2412,0.22263681592039802,04,Körperverletzung / Sexualdelikt / Elektroschocker
Charlottenburg-Wilmersdorf,4.0,D,328,0.27439024390243905,04,Körperverletzung / Sexualdelikt / Elektroschocker
Charlottenburg-Wilmersdorf,5.0,A,52,0.1346153846153846,05,Rückenschmerzen (Nicht traumatische Rückenschmerzen oder ältere Verletzung)
Charlottenburg-Wilmersdorf,5.0,C,2075,0.14506024096385542,05,Rückenschmerzen (Nicht traumatische Rückenschmerzen oder ältere Verletzung)
Charlottenburg-Wilmersdorf,5.0,D,419,0.22195704057279236,05,Rückenschmerzen (Nicht traumatische Rückenschmerzen oder ältere Verletzung)
Charlottenburg-Wilmersdorf,6.0,C,7375,0.23484745762711864,06,Atembeschwerden
Charlottenburg-Wilmersdorf,6.0,D,6331,0.33154320012636235,06,Atembeschwerden
Charlottenburg-Wilmersdorf,6.0,E,108,0.37037037037037035,06,Atembeschwerden
Charlottenburg-Wilmersdorf,7.0,A,120,0.2,07,Verbrennungen (Verbrühungen) / Explosion (Detonation)
Charlottenburg-Wilmersdorf,7.0,B,40,0.1,07,Verbrennungen (Verbrühungen) / Explosion (Detonation)
Charlottenburg-Wilmersdorf,7.0,C,39,0.48717948717948717,07,Verbrennungen (Verbrühungen) / Explosion (Detonation)
Charlottenburg-Wilmersdorf,9.0,D,212,0.49056603773584906,09,"Kreislauf-, Atemstillstand / Tote Person"
Charlottenburg-Wilmersdorf,9.0,E,1248,0.5833333333333334,09,"Kreislauf-, Atemstillstand / Tote Person"
